pathway,P.Value,FDR,Count,pathway_size,GeneRatio,hits_genes
HALLMARK_ADIPOGENESIS,2.451685628016208e-28,1.2258428140081041e-26,111,191,0.02377382737202827,"LIFR,PGM1,CIDEA,COX7B,SNCG,DGAT1,NKIRAS1,GBE1,OMD,ACO2,HADH,RIOK3,GPX3,PTGER3,PRDX3,HSPB8,DLD,GHITM,ABCA1,MGST3,SLC27A1,PFKFB3,LIPE,RMDN3,PEMT,COL4A1,SSPN,CD36,ENPP2,CS,UQCR10,FZD4,PPM1B,ANGPTL4,SCP2,ACADM,ACADL,AK2,DECR1,CRAT,IFNGR1,LAMA4,ALDH2,ACAA2,SAMM50,GPAT4,ME1,PLIN2,ETFB,SPARCL1,IDH1,ANGPT1,DNAJB9,TST,MTCH2,CAT,DLAT,ITGA7,LPL,DRAM2,ADIPOR2,SLC25A1,PPARG,CYP4B1,MCCC1,ACOX1,CDKN2C,ELMOD3,MGLL,REEP5,STAT5A,QDPR,COX6A1,GPAM,CMBL,BCL2L13,ADCY6,LEP,DHRS7B,SUCLG1,ACADS,RNF11,VEGFB,FAH,TKT,DBT,IDH3A,FABP4,DNAJC15,CHCHD10,CPT2,ECHS1,HIBCH,SORBS1,ITSN1,PHYH,ITIH5,RTN3,RREB1,GPHN,GPX4,EPHX2,UQCRQ,SDHB,MRAP,ESYT1,RETSAT,ECH1,CHUK,SDHC,ADIPOQ"
HALLMARK_E2F_TARGETS,3.1183189908479255e-26,7.795797477119814e-25,108,191,0.02313129149710859,"POLD1,SSRP1,BIRC5,ANP32E,LMNB1,PTTG1,MCM3,HMGB3,MKI67,PCNA,WEE1,POLE4,SMC4,EZH2,SRSF1,NOLC1,CCNB2,CDC20,BARD1,MCM7,CKS2,MTHFD2,NCAPD2,NUP153,CDCA8,KIF18B,WDR90,CENPM,HELLS,SPC24,POLA2,XPO1,DSCC1,LIG1,ORC6,ESPL1,CDC25B,AK2,CTPS1,KIF22,TOP2A,TACC3,TRIP13,NAP1L1,SPC25,CHEK1,SMC1A,MYBL2,TK1,CHEK2,TIMELESS,KPNA2,ATAD2,E2F8,MCM6,HMGB2,STMN1,RNASEH2A,HMGA1,DDX39A,MAD2L1,UBE2T,PDS5B,MCM2,GSPT1,PSIP1,DCTPP1,CDKN2C,RFC3,HNRNPD,MELK,CDKN1A,DLGAP5,CCNE1,CDKN3,MCM5,PAICS,SPAG5,ORC2,DNMT1,GINS1,NASP,RAD51AP1,MCM4,TMPO,RFC1,USP1,RACGAP1,CBX5,LUC7L3,SUV39H1,HMMR,KIF4A,RRM2,AURKA,KIF2C,DONSON,BUB1B,TUBB,DEPDC1,UBE2S,CDCA3,CDK1,TCF19,NUP205,CDC25A,ILF3,RANBP1"
HALLMARK_G2M_CHECKPOINT,8.51778408586726e-23,1.4196306809778766e-21,101,186,0.021632041122295994,"SLC7A1,MNAT1,HNRNPU,BIRC5,TFDP1,LMNB1,PTTG1,MCM3,HMGB3,MKI67,CCND1,NUP50,SLC7A5,EZH2,SMC4,SRSF1,SRSF10,UPF1,SQLE,NOLC1,CCNB2,CDC20,KIF11,BARD1,SLC38A1,E2F1,RAD23B,CKS2,NEK2,NUSAP1,NDC80,POLA2,XPO1,NUMA1,TOP1,ORC6,ESPL1,CDC25B,KIF22,CDC7,TOP2A,TACC3,GINS2,CHEK1,KIF15,SMC1A,MYBL2,PRC1,BUB1,KPNA2,SMARCC1,PBK,MCM6,STMN1,CENPF,TPX2,HMGA1,DDX39A,MAD2L1,PDS5B,MCM2,BUB3,DTYMK,GSPT1,UBE2C,CDKN2C,ATF5,FOXN3,HNRNPD,DBF4,CCNA2,MTF2,FBXO5,CCNF,CDKN3,PML,TTK,MCM5,ARID4A,NASP,TMPO,E2F3,EWSR1,RACGAP1,STIL,KPNB1,SUV39H1,HMMR,RAD54L,RBM14,LIG3,KNL1,KIF4A,AURKA,KIF2C,SFPQ,UBE2S,KIF23,CDK1,CDC25A,ILF3"
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.2741113632505975e-18,1.5926392040632468e-17,97,194,0.020775326622403084,"PLSCR1,SRI,TAP1,SPPL2A,OASL,NLRC5,IFIH1,NAMPT,HLA-G,CIITA,ISG15,PDE4B,PTGS2,GCH1,PTPN6,IL4R,PARP14,IFI30,PSMB9,IFIT2,MTHFD2,SSPN,PTPN2,TRIM25,STAT1,AUTS2,EPSTI1,TRIM14,XAF1,EIF4E3,PLA2G4A,PSMB8,CFB,MX1,BST2,LATS2,B2M,PFKP,IRF7,NCOA3,CFH,CMPK2,CXCL9,CXCL11,RTP4,TAPBP,MYD88,TNFSF10,HLA-DRB1,ICAM1,IL2RB,OAS3,RSAD2,CCL5,IRF9,IL6,VCAM1,CDKN1A,TRAFD1,PSMB10,CD274,PML,SAMHD1,VAMP5,IL18BP,SOCS1,ISOC1,IRF1,CSF2RB,APOL6,HERC6,ADAR,RAPGEF6,ITGB7,HLA-B,TNFAIP6,IFNAR2,TXNIP,ZBP1,ISG20,SECTM1,HLA-A,PARP12,RNF213,SAMD9L,UBE2L6,LY6E,MX2,CXCL10,OAS2,NUP93,ARID5B,BANK1,TRIM26,SP110,CD74,SLAMF7"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.0147798581055e-14,6.0147798581055e-13,84,181,0.017991004497751123,"CYB5A,IDH3B,COX5A,SUCLA2,ETFA,COX7B,ATP6V0E1,ACO2,NDUFA2,ATP6AP1,PRDX3,DLD,MGST3,NDUFA3,MDH1,ACADVL,NQO2,FDX1,ETFDH,ALDH6A1,GPI,NDUFB5,CYB5R3,ISCU,MPC1,CS,UQCR10,LRPPRC,NDUFB4,UQCRC2,ACADM,NDUFS4,DECR1,ACAA2,ETFB,COX5B,PDHA1,IDH1,PDK4,ISCA1,HADHB,DLAT,BDH2,RHOT1,HADHA,OXA1L,AFG3L2,ATP6V1D,NDUFA6,PDHX,NDUFB3,PDP1,COX7C,ACADSB,TOMM22,COX6A1,MRPS15,SUCLG1,HSPA9,SDHD,NDUFV2,TCIRG1,ATP6V1E1,IDH3A,PDHB,RHOT2,SLC25A20,ECHS1,NNT,PHYH,GPX4,CYCS,UQCRQ,SDHB,GLUD1,NDUFS1,ACAT1,NDUFA4,RETSAT,ECH1,OPA1,SDHC,NDUFB8,MRPL35"
HALLMARK_FATTY_ACID_METABOLISM,2.0603903802829353e-13,1.7169919835691126e-12,74,154,0.015849218248018847,"PDHB,ACSL1,CA4,GLUL,G0S2,CPT2,ECHS1,HIBCH,CD36,ALAD,ADIPOR2,IDH3B,CIDEA,ALDH3A2,MLYCD,PPARA,PCBD1,SUCLA2,MCEE,HSD17B11,GABARAPL1,UBE2L6,ACOX1,EHHADH,UROD,ACADM,PTPRG,BCKDHB,ELOVL5,ACADL,ALDH1A1,MGLL,SDHC,EPHX1,BLVRA,ADH1C,ACO2,DECR1,IL4I1,SERINC1,HADH,CRAT,IDI1,DLD,ACAA2,SUCLG1,HSDL2,ME1,SDHD,LGALS1,S100A10,RETSAT,MDH1,ACADVL,PDHA1,ACADS,ETFDH,TDO2,IDH1,PRDX6,XIST,MIF,HSD17B4,ECI2,INMT,MAOA,ALDH9A1,ACSL4,ECH1,AUH,HADHB,D2HGDH,GPD1,AOC3"
HALLMARK_ESTROGEN_RESPONSE_LATE,3.0681973439493316e-12,2.1915695313923796e-11,85,195,0.01820518312272435,"TFAP2C,BLVRB,FOS,DNAJC1,MICB,CAV1,CPE,NRIP1,LLGL2,METTL3,CCND1,MEST,KIF20A,ELOVL5,SLC7A5,KCNK5,PTGER3,RABEP1,HSPB8,CDH1,CDC20,MAPT,PTPN6,SLC29A1,FARP1,ADD3,IL6ST,PKP3,DUSP2,FABP5,OPN3,ABHD2,SLC27A2,LAMC2,SLC24A3,ZFP36,ACOX2,BATF,CHPT1,TIAM1,BCL2,LTF,MOCS2,PAPSS2,ASS1,IL17RB,TOP2A,GINS2,SCUBE2,TPBG,ETFB,NPY1R,DYNLT3,MDK,CXCL14,GPER1,PRKAR2B,CXCL12,BAG1,ST14,TST,CKB,SERPINA1,MAPK13,RNASEH2A,UNC13B,CD44,ALDH3A2,KLF4,TMPRSS3,PRLR,WFS1,ATP2B4,NAB2,FDFT1,ISG20,STIL,LSR,JAK1,SLC1A4,TRIM29,HPRT1,SFN,FLNB,ITPK1"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4.285959013444449e-12,2.6787243834027807e-11,85,196,0.01820518312272435,"FBLN5,PCOLCE2,SNTB1,VCAN,INHBA,ITGB1,SLIT2,MEST,FN1,FMOD,SPARC,BGN,LAMA2,TNC,LUM,PMEPA1,WNT5A,MCM7,GJA1,COL4A1,FBLN1,LAMC1,TGM2,LAMC2,RHOB,MFAP5,CALD1,FBLN2,IL32,HTRA1,BASP1,FBN1,ECM2,DCN,LRRC15,COL16A1,LOX,MYL9,SERPINE2,DST,CXCL12,MMP1,FSTL1,COL11A1,CD44,LRP1,COL5A3,EFEMP2,SGCG,SGCB,CDH11,FGF2,IL6,VCAM1,CAP2,TGFBR3,SGCD,FERMT2,PMP22,COL4A2,SLIT3,SDC1,PRRX1,MSX1,VIM,SFRP4,VEGFC,TPM4,FSTL3,NT5E,COL6A2,ECM1,TIMP3,CDH2,MGP,PLOD2,ITGB5,LGALS1,NID2,JUN,PTX3,POSTN,QSOX1,CAPG,THBS1"
HALLMARK_UV_RESPONSE_DN,7.938489713056905e-12,4.410272062809392e-11,65,136,0.013921610623259799,"SYNJ2,ADD3,LTBP1,LAMC1,FBLN5,MAGI2,SRI,PIK3CD,SLC7A1,COL11A1,SDC2,PHF3,TFPI,ID1,ACVR2A,PDLIM5,ADGRL2,MAP1B,CDC42BPA,PTPN21,NR3C1,F3,CAV1,PTPRM,PPARG,VLDLR,APBB2,CDK13,VAV2,PIAS3,GCNT1,CDON,LPAR1,BCKDHB,MGLL,DUSP1,NRP1,PTEN,CAP2,BMPR1A,RBPMS,FYN,SFMBT1,DLG1,NEK7,IGFBP5,TGFBR3,RXRA,CELF2,DLC1,PMP22,CITED2,AGGF1,ATRN,TGFBR2,EFEMP1,PRKAR2B,NFIB,ATP2B4,NR1D2,IRS1,PLPP3,GJA1,INSIG1,DBP"
HALLMARK_MITOTIC_SPINDLE,4.6326942288728584e-11,2.3163471144364293e-10,83,197,0.017776825872777898,"FGD4,CDC42EP2,BIRC5,LMNB1,NCK1,RASA1,CSNK1D,PCM1,SPTAN1,SMC4,SOS1,DLG1,SYNPO,KIF11,CCNB2,FSCN1,GSN,TUBA4A,FARP1,NEK2,EPB41L2,NUSAP1,NDC80,NUMA1,PDLIM5,KNTC1,CLIP1,BCL2L11,ARHGAP5,LRPPRC,TIAM1,ESPL1,KIF22,TOP2A,NET1,MYH9,KIF15,CTTN,SMC1A,PRC1,ARHGAP27,BUB1,DST,CAPZB,ROCK1,VCL,ANLN,CENPF,TPX2,RHOF,BIN1,APC,DLGAP5,FBXO5,TTK,ECT2,ARHGEF3,AKAP13,RAPGEF6,RHOT2,RFC1,RACGAP1,MYO1E,TBCD,CDC42BPA,ITSN1,ALS2,SORBS2,PKD2,PREX1,KIF4A,AURKA,ARHGEF2,KIF2C,FLNB,CYTH2,SPTBN1,KIF23,ARHGAP10,ARHGAP29,ARF6,CDK1,EZR"
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.470997325749671e-10,6.686351480680323e-10,48,93,0.010280573998714928,"HERC6,CD47,ADAR,PLSCR1,CXCL11,RTP4,TAP1,TRIM25,TXNIP,PROCR,IFITM1,LPAR6,OASL,NUB1,ISG20,SELL,EPSTI1,TRIM14,PARP12,SAMD9L,UBE2L6,LY6E,PARP9,RSAD2,IFIH1,HLA-C,CXCL10,IRF9,PSMB8,TRAFD1,MX1,LAMP3,ISG15,BST2,TRIM26,B2M,SP110,CD74,TMEM140,IRF7,IL4R,PARP14,SAMD9,IFI30,IRF1,CMPK2,PSMB9,IFIT2"
HALLMARK_HYPOXIA,9.367029748420892e-10,3.9029290618420376e-09,79,194,0.016920111372884985,"PGM1,ILVBL,ATP7A,B3GALT6,FOS,F3,CAV1,PDK3,PLAC8,BGN,GBE1,BNIP3L,CP,IDS,NEDD4L,NFIL3,FAM162A,SLC6A6,PFKFB3,CITED2,RBPJ,GPI,SRPX,PPP1R3C,PGF,TGM2,PYGM,ZFP36,IRS2,ADM,AKAP12,ANGPTL4,CASP6,DUSP1,ANKZF1,BCL2,DCN,TPD52,MYH9,TPBG,LOX,PFKP,GPC3,PLIN2,PGM2,SELENBP1,MAFF,HK2,SLC25A1,AMPD3,VLDLR,ZNF292,PAM,IL6,CDKN1A,ALDOC,HK1,GYS1,CDKN1C,ETS1,CXCR4,SDC2,ACKR3,PPP1R15A,ISG20,NR3C1,IER3,MXI1,GLRX,PCK1,S100A4,TES,UGP2,RRAGD,XPNPEP1,MIF,TPST2,JUN,EGFR"
HALLMARK_ESTROGEN_RESPONSE_EARLY,2.092186994811718e-08,8.046873056968145e-08,75,192,0.016063396872992075,"NAV2,OLFML3,ADD3,CXCL12,IL6ST,GREB1,WWC1,ELF3,ASB13,TGM2,OPN3,CD44,TFAP2C,ABHD2,SLC27A2,SLC24A3,MAST4,KAZN,KRT8,INHBB,BLVRB,FOS,SLC37A1,FDFT1,BCL11B,NADSYN1,CELSR1,CALB2,MICB,KLF4,AR,UGCG,NRIP1,TGIF2,SH3BP5,ISG20L2,MYBL1,RHOBTB3,KDM4B,MPPED2,CCND1,CHPT1,TIAM1,FCMR,ELOVL5,TSKU,TMPRSS3,BCL2,SLC7A5,LAD1,PAPSS2,SLC1A4,KCNK5,IL17RB,RASGRP1,RRP12,BAG1,GAB2,HSPB8,SFN,DHRS3,GFRA1,FLNB,TPBG,DLC1,MAPT,WFS1,CANT1,NPY1R,FARP1,DYNLT3,ITPK1,PEX11A,GJA1,AKAP1"
HALLMARK_XENOBIOTIC_METABOLISM,2.708870158885e-08,9.674536281732143e-08,75,193,0.016063396872992075,"ABHD6,FBLN1,FMO3,ENPEP,CAT,NQO1,CSAD,MAN1A1,CYB5A,HACL1,CD36,PTGR1,MTHFD1,RBP4,PGRMC1,ESR1,ACOX2,HES6,BLVRB,PDLIM5,SHMT2,JUP,ATP2A2,ENTPD5,SAR1B,PC,PPARD,DDAH2,GART,GABARAPL1,GSTM4,AOX1,ABCC3,ATOH8,PMM1,ACOX1,CASP6,ELOVL5,EPHX1,PAPSS2,ADH1C,ACO2,CFB,PSMB10,PGD,ARPP19,CDO1,IL1R1,HSD11B1,PINK1,HPRT1,ALDH2,ADH5,ARG2,GCH1,IGF1,PROS1,SLC6A6,RETSAT,SPINT2,ETFDH,F10,IDH1,PEMT,PDK4,GCLC,TDO2,ABCD2,MAOA,ALDH9A1,MCCC2,FAH,ECH1,AKR1C3,AHCY"
HALLMARK_MTORC1_SIGNALING,2.9950739298603077e-08,9.676888042994634e-08,74,190,0.015849218248018847,"GMPS,GPI,ADD3,SDF2L1,CXCR4,MCM4,PGM1,PPP1R15A,ADIPOR2,ACTR2,CANX,HK2,SQSTM1,SCD,ITGB2,DDX39A,SHMT2,ATP2A2,ATP6V1D,MCM2,SKAP2,VLDLR,ARPC5L,SLA,SLC7A11,GLRX,TRIB3,HSP90B1,GGA2,NAMPT,ETF1,RIT1,ASNS,ACTR3,DAPP1,ELOVL5,GBE1,DHFR,LGMN,SLC7A5,QDPR,CDKN1A,SLC1A4,TES,SEC11A,RRM2,AURKA,CCNG1,SQLE,IDI1,HPRT1,IGFBP5,CCNF,PLOD2,NFIL3,ME1,HSPA9,TUBA4A,SLC6A6,ACACA,IDH1,GCLC,SC5D,BUB1,NUP205,TM7SF2,CYB5B,ACSL3,IFI30,CDC25A,CORO1A,INSIG1,MTHFD2,CCT6A"
HALLMARK_APOPTOSIS,3.096604173758283e-08,9.676888042994634e-08,65,160,0.013921610623259799,"TIMP2,HMGB2,ROCK1,TSPO,RHOT2,FEZ1,GSTM1,CD44,TAP1,ANXA1,RHOB,AVPR1A,SQSTM1,TXNIP,ISG20,CAV1,IER3,TNFSF10,HGF,CD2,BCAP31,BCL2L11,WEE1,LGALS3,CASP2,TIMP3,CCND1,GPX1,ETF1,CLU,CASP6,CDK2,BMP2,SPTAN1,BGN,IL6,DCN,CDKN1A,CDC25B,IGFBP6,GPX4,BNIP3L,BIRC3,TOP2A,APP,GPX3,IFNGR1,PTK2,BCL2L2,TGFBR3,GCH1,GSN,LUM,BMF,CFLAR,RETSAT,BIK,EMP1,JUN,SLC20A1,SC5D,LEF1,IRF1,DPYD,CTNNB1"
HALLMARK_APICAL_JUNCTION,9.1039174328975e-08,2.6776227743816174e-07,73,191,0.01563503962304562,"CDH3,CX3CL1,TSPAN4,CD209,SGCE,MAPK13,VCL,PTPRC,PLCG1,LIMA1,ACTB,VCAN,TIAL1,SYK,NECTIN4,LAMC2,ITGB1,ACTG1,GAMT,JUP,AMIGO1,RAC2,DSC3,EPB41L2,CALB2,CLDN5,SKAP2,FBN1,PBX2,RASA1,SLIT2,ICAM1,MPZL2,RHOF,ADAMTS5,VAV2,NEGR1,NRTN,MPZL1,RSU1,VASP,CDH11,VCAM1,PTEN,MMP9,HADH,RRAS,DLG1,CRAT,PTK2,CDH1,PIK3CB,ARHGEF6,COL16A1,MYH9,PARVA,FSCN1,GNAI1,ITGB4,MYL9,CD34,CD274,NECTIN3,CD99,SYMPK,EVL,EGFR,MDK,NEXN,IRS1,LAYN,INSIG1,CLDN4"
HALLMARK_GLYCOLYSIS,1.0455440012905311e-07,2.9042888924736976e-07,74,195,0.015849218248018847,"STMN1,SDC1,CXCR4,NASP,AGRN,ELF3,CYB5A,SDC2,VCAN,CD44,HOMER1,PPP2CB,HK2,ALDH7A1,B3GALT6,PFKFB1,ISG20,NDUFV3,IRS2,IER3,PC,PHKA2,VLDLR,ZNF292,MXI1,GLCE,NT5E,GLRX,HMMR,ANGPTL4,XYLT2,GFPT1,CASP6,KIF20A,PDK3,PAM,ANKZF1,DCN,DSC2,CHPF2,ARPP19,UGP2,AURKA,RRAGD,COG2,DLD,PLOD2,TPBG,ANG,ME1,FAM162A,PFKP,GPC3,GYS1,AK3,CITED2,MDH1,DEPDC1,BIK,PGM2,MIF,SOX9,IDH1,CDK1,EGFR,SLC35A3,PYGL,SLC25A13,ALDH9A1,SDHC,QSOX1,PKM,B3GAT3,GCLC"
